Gene	P value	Adjusted P value	Log2 Fold Change	Cluster
P4HA1	2.225074E-308	2.225074E-308	1.766120139	VEGFA+SPP1+
VEGFA	2.225074E-308	2.225074E-308	1.757102036	VEGFA+SPP1+
LGALS3	2.225074E-308	2.225074E-308	1.752573664	VEGFA+SPP1+
RALGDS	2.225074E-308	2.225074E-308	1.743356051	VEGFA+SPP1+
ENO1	2.225074E-308	2.225074E-308	1.69038886	VEGFA+SPP1+
C15orf48	2.225074E-308	2.225074E-308	1.645679467	VEGFA+SPP1+
SLC25A13	2.225074E-308	2.225074E-308	1.553160005	VEGFA+SPP1+
CDKN1A	2.225074E-308	2.225074E-308	1.538064884	VEGFA+SPP1+
CCRL2	2.225074E-308	2.225074E-308	1.537154147	VEGFA+SPP1+
CCL3L1	2.225074E-308	2.225074E-308	1.506742281	VEGFA+SPP1+
CXCL2	2.225074E-308	2.225074E-308	1.456927218	VEGFA+SPP1+
CD68	2.225074E-308	2.225074E-308	1.452369521	VEGFA+SPP1+
PLIN2	2.225074E-308	2.225074E-308	1.444031072	VEGFA+SPP1+
LIMS1	2.225074E-308	2.225074E-308	1.396815836	VEGFA+SPP1+
BHLHE40	2.225074E-308	2.225074E-308	1.376819268	VEGFA+SPP1+
CTSD	2.225074E-308	2.225074E-308	1.370878974	VEGFA+SPP1+
MGAT1	2.225074E-308	2.225074E-308	1.358001566	VEGFA+SPP1+
HES4	2.225074E-308	2.225074E-308	1.324268943	VEGFA+SPP1+
AL139246-5	2.225074E-308	2.225074E-308	1.272831188	VEGFA+SPP1+
PLEKHB2	2.225074E-308	2.225074E-308	1.260315888	VEGFA+SPP1+
SPHK1	2.225074E-308	2.225074E-308	1.240072122	VEGFA+SPP1+
CCL4	2.225074E-308	2.225074E-308	1.219259758	VEGFA+SPP1+
CCL4L2	2.225074E-308	2.225074E-308	1.209188488	VEGFA+SPP1+
TPI1	2.225074E-308	2.225074E-308	1.207759594	VEGFA+SPP1+
MAPK6	2.225074E-308	2.225074E-308	1.194061987	VEGFA+SPP1+
RAB20	2.225074E-308	2.225074E-308	1.149421376	VEGFA+SPP1+
AC015912-3	2.225074E-308	2.225074E-308	1.122752081	VEGFA+SPP1+
IFI30	2.225074E-308	2.225074E-308	1.092443973	VEGFA+SPP1+
AL118516-1	2.225074E-308	2.225074E-308	1.080973761	VEGFA+SPP1+
CD83	2.225074E-308	2.225074E-308	1.064238976	VEGFA+SPP1+
DDIT3	2.225074E-308	2.225074E-308	1.059942814	VEGFA+SPP1+
CSTB	2.225074E-308	2.225074E-308	1.030046338	VEGFA+SPP1+
PLAU	2.225074E-308	2.225074E-308	1.004434675	VEGFA+SPP1+
TNFRSF14	2.225074E-308	2.225074E-308	1.001217385	VEGFA+SPP1+
WTAP	2.225074E-308	2.225074E-308	0.984381263	VEGFA+SPP1+
IRAK2	2.225074E-308	2.225074E-308	0.983701642	VEGFA+SPP1+
SQSTM1	2.225074E-308	2.225074E-308	0.961802182	VEGFA+SPP1+
ATP6V1F	2.225074E-308	2.225074E-308	0.961595749	VEGFA+SPP1+
ATP6V1G1	2.225074E-308	2.225074E-308	0.937971908	VEGFA+SPP1+
CXCL8	2.225074E-308	2.225074E-308	0.933010456	VEGFA+SPP1+
KLF10	2.225074E-308	2.225074E-308	0.926504557	VEGFA+SPP1+
SGK1	2.225074E-308	2.225074E-308	0.894351852	VEGFA+SPP1+
LPCAT1	2.225074E-308	2.225074E-308	0.881651406	VEGFA+SPP1+
GADD45B	2.225074E-308	2.225074E-308	0.858544962	VEGFA+SPP1+
ATP2B1-AS1	2.225074E-308	2.225074E-308	0.838284104	VEGFA+SPP1+
PTMA	2.225074E-308	2.225074E-308	0.82866479	VEGFA+SPP1+
ATP6V0C	2.225074E-308	2.225074E-308	0.817912012	VEGFA+SPP1+
GUK1	2.225074E-308	2.225074E-308	0.807637785	VEGFA+SPP1+
PPIF	2.225074E-308	2.225074E-308	0.779792612	VEGFA+SPP1+
BRI3	2.225074E-308	2.225074E-308	0.740337739	VEGFA+SPP1+
CD63	2.225074E-308	2.225074E-308	0.729233586	VEGFA+SPP1+
PHACTR1	2.225074E-308	2.225074E-308	0.719172175	VEGFA+SPP1+
GRINA	2.225074E-308	2.225074E-308	0.702660733	VEGFA+SPP1+
IER3	2.225074E-308	2.225074E-308	0.692792478	VEGFA+SPP1+
ICAM1	2.225074E-308	2.225074E-308	0.641270439	VEGFA+SPP1+
NINJ1	2.225074E-308	2.225074E-308	0.626024243	VEGFA+SPP1+
ASAH1	2.225074E-308	2.225074E-308	0.573744507	VEGFA+SPP1+
MAP1LC3B	2.225074E-308	2.225074E-308	0.542110967	VEGFA+SPP1+
PPP1R15A	2.225074E-308	2.225074E-308	0.531845684	VEGFA+SPP1+
RNASEK	2.225074E-308	2.225074E-308	0.519942333	VEGFA+SPP1+
G0S2	2.225074E-308	2.225074E-308	0.424878353	VEGFA+SPP1+
PLAUR	2.225074E-308	2.225074E-308	0.403107097	VEGFA+SPP1+
TNFAIP3	2.225074E-308	2.225074E-308	0.382095628	VEGFA+SPP1+
EIF1	8.79E-297	2.23E-292	0.350038924	VEGFA+SPP1+
MAFF	1.21E-295	3.06E-291	0.811031374	VEGFA+SPP1+
HCAR3	8.55E-289	2.17E-284	0.681020713	VEGFA+SPP1+
RHEB	3.06E-288	7.77E-284	1.262129079	VEGFA+SPP1+
NFKBIA	1.09E-283	2.78E-279	0.408902582	VEGFA+SPP1+
NPC2	3.71E-283	9.42E-279	0.740764305	VEGFA+SPP1+
LDHA	2.49E-281	6.33E-277	1.110914277	VEGFA+SPP1+
SLPI	2.87E-280	7.28E-276	1.255956584	VEGFA+SPP1+
NXT1	2.11E-265	5.37E-261	1.071737446	VEGFA+SPP1+
BCL2A1	1.06E-262	2.70E-258	0.357590436	VEGFA+SPP1+
NFKBIZ	5.07E-260	1.29E-255	0.376857421	VEGFA+SPP1+
RNMT	3.29E-259	8.37E-255	1.037200323	VEGFA+SPP1+
ANXA5	1.30E-256	3.30E-252	1.052304992	VEGFA+SPP1+
FTH1	6.28E-255	1.60E-250	0.764374175	VEGFA+SPP1+
IRAK1	7.17E-250	1.82E-245	1.022976998	VEGFA+SPP1+
FAU	1.13E-248	2.88E-244	0.370889203	VEGFA+SPP1+
SERTAD1	9.54E-248	2.42E-243	0.971693112	VEGFA+SPP1+
ATP6V1C1	1.00E-247	2.55E-243	1.251511324	VEGFA+SPP1+
EIF4A1	3.14E-239	7.98E-235	0.836468021	VEGFA+SPP1+
PTGER4	4.14E-239	1.05E-234	0.890918858	VEGFA+SPP1+
CYSTM1	2.53E-237	6.43E-233	0.709280446	VEGFA+SPP1+
FOSL2	1.34E-235	3.39E-231	0.705372217	VEGFA+SPP1+
ERO1A	7.93E-232	2.01E-227	1.302229043	VEGFA+SPP1+
SMIM25	1.90E-231	4.84E-227	0.474916817	VEGFA+SPP1+
NSMAF	1.93E-227	4.89E-223	0.718672678	VEGFA+SPP1+
TANK	1.15E-225	2.91E-221	0.658997159	VEGFA+SPP1+
PLK3	5.02E-222	1.28E-217	0.650761814	VEGFA+SPP1+
TBC1D7	2.54E-221	6.46E-217	0.938137263	VEGFA+SPP1+
CREM	1.17E-219	2.97E-215	0.598615111	VEGFA+SPP1+
FCER1G	2.81E-213	7.14E-209	0.412323271	VEGFA+SPP1+
CXCR4	4.03E-211	1.02E-206	0.425843088	VEGFA+SPP1+
LCP2	1.31E-209	3.34E-205	0.424893835	VEGFA+SPP1+
JUN	3.94E-207	9.99E-203	0.563891413	VEGFA+SPP1+
TRMT112	8.50E-206	2.16E-201	0.85245857	VEGFA+SPP1+
ABCA1	1.76E-201	4.47E-197	0.88084786	VEGFA+SPP1+
YBX1	1.72E-196	4.38E-192	0.807576642	VEGFA+SPP1+
BNIP3L	3.23E-196	8.20E-192	0.780951104	VEGFA+SPP1+
GPX4	1.31E-194	3.32E-190	0.754052113	VEGFA+SPP1+
KMT2E-AS1	7.78E-193	1.98E-188	0.817438125	VEGFA+SPP1+
GSTO1	8.73E-191	2.22E-186	1.311362392	VEGFA+SPP1+
TNFAIP6	3.74E-190	9.49E-186	0.443826519	VEGFA+SPP1+
ZFAND5	9.33E-186	2.37E-181	0.638883205	VEGFA+SPP1+
MAFG	8.43E-182	2.14E-177	0.997944485	VEGFA+SPP1+
ZMIZ1	2.00E-180	5.08E-176	0.862408672	VEGFA+SPP1+
RILPL2	4.86E-179	1.23E-174	0.456007093	VEGFA+SPP1+
SLC20A1	1.38E-177	3.50E-173	0.898267422	VEGFA+SPP1+
AC091271-1	1.46E-177	3.70E-173	0.888660816	VEGFA+SPP1+
GAPDH	1.98E-177	5.03E-173	0.419950484	VEGFA+SPP1+
ADORA2A	4.72E-177	1.20E-172	0.988207381	VEGFA+SPP1+
CD48	4.80E-172	1.22E-167	0.993604954	VEGFA+SPP1+
OST4	1.68E-168	4.28E-164	0.815395514	VEGFA+SPP1+
UBC	7.95E-167	2.02E-162	0.294272704	VEGFA+SPP1+
PKM	6.00E-166	1.52E-161	0.895693909	VEGFA+SPP1+
CARD19	4.53E-163	1.15E-158	1.141624652	VEGFA+SPP1+
TOM1	7.16E-163	1.82E-158	0.724120407	VEGFA+SPP1+
GABARAP	1.40E-159	3.55E-155	0.365024904	VEGFA+SPP1+
HCAR2	1.08E-158	2.75E-154	0.654379213	VEGFA+SPP1+
C1orf43	5.22E-156	1.33E-151	0.657624267	VEGFA+SPP1+
IER5	1.01E-154	2.56E-150	0.733895861	VEGFA+SPP1+
GLA	2.04E-153	5.18E-149	0.787785532	VEGFA+SPP1+
EML4	1.97E-151	5.01E-147	0.889373803	VEGFA+SPP1+
CHMP2B	2.63E-151	6.68E-147	0.659697271	VEGFA+SPP1+
XBP1	2.86E-151	7.25E-147	0.828835634	VEGFA+SPP1+
TREM1	2.23E-150	5.65E-146	0.364686743	VEGFA+SPP1+
ZNF267	2.70E-148	6.86E-144	0.701261512	VEGFA+SPP1+
IL1B	4.49E-148	1.14E-143	0.397720888	VEGFA+SPP1+
AC007032-1	4.72E-142	1.20E-137	0.525218749	VEGFA+SPP1+
TMEM258	4.43E-133	1.12E-128	0.765064251	VEGFA+SPP1+
ALOX5AP	1.87E-131	4.75E-127	0.317986615	VEGFA+SPP1+
KATNBL1	5.32E-131	1.35E-126	0.680546209	VEGFA+SPP1+
AFF4	4.00E-130	1.02E-125	0.712277028	VEGFA+SPP1+
FOSB	5.63E-128	1.43E-123	0.325237625	VEGFA+SPP1+
ELOC	2.75E-126	6.99E-122	0.771715027	VEGFA+SPP1+
TPT1	1.21E-125	3.06E-121	0.350695491	VEGFA+SPP1+
SRSF3	1.39E-124	3.53E-120	0.65320546	VEGFA+SPP1+
CIB1	5.13E-124	1.30E-119	0.693183053	VEGFA+SPP1+
KLHL21	5.81E-124	1.48E-119	1.083590678	VEGFA+SPP1+
TXNRD1	1.79E-121	4.54E-117	0.749211657	VEGFA+SPP1+
ZEB2	2.68E-121	6.80E-117	0.555214434	VEGFA+SPP1+
TNFSF14	6.69E-121	1.70E-116	0.848705918	VEGFA+SPP1+
ETS2	3.62E-119	9.20E-115	0.509789502	VEGFA+SPP1+
CCNL1	2.54E-118	6.45E-114	0.296103516	VEGFA+SPP1+
AC020916-1	4.86E-116	1.24E-111	0.498000382	VEGFA+SPP1+
FLNA	2.65E-114	6.73E-110	0.7337653	VEGFA+SPP1+
DNAJC8	5.56E-114	1.41E-109	0.732095977	VEGFA+SPP1+
AZIN1-AS1	2.07E-112	5.26E-108	0.701035297	VEGFA+SPP1+
HIF1A	3.65E-112	9.27E-108	0.360511049	VEGFA+SPP1+
DAD1	4.99E-110	1.27E-105	0.723664821	VEGFA+SPP1+
EIF4A3	4.77E-108	1.21E-103	0.725317012	VEGFA+SPP1+
CXCL16	1.07E-107	2.70E-103	0.495457802	VEGFA+SPP1+
BEST1	1.52E-107	3.85E-103	0.599431687	VEGFA+SPP1+
CD82	2.29E-107	5.81E-103	0.582502903	VEGFA+SPP1+
EMD	3.24E-107	8.22E-103	0.810212571	VEGFA+SPP1+
MTHFS	3.31E-107	8.40E-103	0.736029118	VEGFA+SPP1+
TPP1	6.77E-106	1.72E-101	0.815738306	VEGFA+SPP1+
COX8A	6.46E-104	1.64E-99	0.614742933	VEGFA+SPP1+
IL1RN	5.38E-101	1.37E-96	0.47168957	VEGFA+SPP1+
ALDOA	3.06E-100	7.78E-96	0.448834424	VEGFA+SPP1+
CXCL1	1.48E-99	3.76E-95	0.541649949	VEGFA+SPP1+
NAPA	1.98E-97	5.03E-93	0.48443673	VEGFA+SPP1+
CHMP4B	1.83E-96	4.64E-92	0.58122947	VEGFA+SPP1+
EIF5	2.54E-95	6.45E-91	0.478590852	VEGFA+SPP1+
ATP6V0B	1.69E-94	4.29E-90	0.379004735	VEGFA+SPP1+
VPS18	4.32E-92	1.10E-87	0.766234007	VEGFA+SPP1+
RRAGC	1.18E-90	2.98E-86	0.588096825	VEGFA+SPP1+
CD300A	1.24E-90	3.16E-86	0.854188938	VEGFA+SPP1+
FUS	2.51E-90	6.37E-86	0.529651997	VEGFA+SPP1+
AC087239-1	3.68E-90	9.36E-86	0.846451391	VEGFA+SPP1+
LUCAT1	2.38E-88	6.04E-84	0.421453181	VEGFA+SPP1+
GABARAPL2	2.78E-88	7.05E-84	0.481035414	VEGFA+SPP1+
SEC22B	5.68E-88	1.44E-83	0.645972661	VEGFA+SPP1+
P4HB	1.97E-87	5.01E-83	0.825940657	VEGFA+SPP1+
DNAJB9	2.06E-86	5.23E-82	1.039082566	VEGFA+SPP1+
UBE2S	5.72E-85	1.45E-80	0.569035673	VEGFA+SPP1+
IVNS1ABP	2.11E-82	5.35E-78	0.271674057	VEGFA+SPP1+
NDRG1	2.46E-82	6.24E-78	0.82975876	VEGFA+SPP1+
PIM3	1.27E-81	3.23E-77	0.585895296	VEGFA+SPP1+
OSM	4.46E-81	1.13E-76	0.406983045	VEGFA+SPP1+
SCARF1	9.71E-81	2.47E-76	0.828030468	VEGFA+SPP1+
ARF4	5.16E-80	1.31E-75	0.574248713	VEGFA+SPP1+
SPAG9	7.92E-80	2.01E-75	0.316566423	VEGFA+SPP1+
PMAIP1	1.07E-79	2.71E-75	0.44918628	VEGFA+SPP1+
POLR2A	2.40E-79	6.11E-75	0.589496628	VEGFA+SPP1+
PCBP1-AS1	6.11E-79	1.55E-74	0.769958966	VEGFA+SPP1+
SRP54	1.73E-78	4.40E-74	0.807800779	VEGFA+SPP1+
MAP3K8	2.68E-77	6.81E-73	0.391966694	VEGFA+SPP1+
IRF2BP2	8.68E-77	2.20E-72	0.447978482	VEGFA+SPP1+
NBN	1.46E-76	3.70E-72	0.551090131	VEGFA+SPP1+
FLOT1	3.01E-76	7.65E-72	0.4836044	VEGFA+SPP1+
MARCKS	1.20E-75	3.05E-71	0.325031771	VEGFA+SPP1+
MCOLN1	7.90E-74	2.01E-69	0.614392334	VEGFA+SPP1+
NOP10	1.22E-73	3.10E-69	0.367170009	VEGFA+SPP1+
RBM8A	3.79E-73	9.61E-69	0.588052516	VEGFA+SPP1+
DUSP2	2.98E-72	7.56E-68	0.415528233	VEGFA+SPP1+
EDN1	1.00E-71	2.55E-67	0.519595201	VEGFA+SPP1+
ARHGDIA	1.48E-71	3.75E-67	0.445768272	VEGFA+SPP1+
UQCRH	2.78E-71	7.07E-67	0.554570565	VEGFA+SPP1+
FAM177A1	1.05E-69	2.67E-65	0.482443972	VEGFA+SPP1+
DDX3Y	1.53E-69	3.88E-65	0.591632199	VEGFA+SPP1+
RLF	1.91E-68	4.85E-64	0.520139417	VEGFA+SPP1+
ATP6V1D	5.69E-67	1.44E-62	0.745654333	VEGFA+SPP1+
RANBP2	2.12E-66	5.39E-62	0.622274586	VEGFA+SPP1+
ATP2B1	8.57E-66	2.18E-61	0.488027868	VEGFA+SPP1+
CD44	1.76E-65	4.47E-61	0.468778332	VEGFA+SPP1+
CAST	2.85E-65	7.24E-61	0.586820286	VEGFA+SPP1+
UBB	4.37E-64	1.11E-59	0.440535859	VEGFA+SPP1+
NFKB2	2.36E-63	5.98E-59	0.538608768	VEGFA+SPP1+
SKIL	1.19E-61	3.03E-57	0.540365091	VEGFA+SPP1+
CSRNP1	1.24E-60	3.15E-56	0.328727042	VEGFA+SPP1+
ATP6V1E1	1.42E-59	3.60E-55	0.758778978	VEGFA+SPP1+
CHCHD2	3.37E-59	8.54E-55	0.428760466	VEGFA+SPP1+
FNIP1	3.85E-59	9.79E-55	0.426220405	VEGFA+SPP1+
PER1	4.85E-59	1.23E-54	0.388282127	VEGFA+SPP1+
TP53INP2	9.29E-58	2.36E-53	0.591971113	VEGFA+SPP1+
HNRNPC	1.17E-57	2.98E-53	0.322358646	VEGFA+SPP1+
GNG5	4.85E-57	1.23E-52	0.291347167	VEGFA+SPP1+
ARL6IP1	5.07E-56	1.29E-51	0.575109597	VEGFA+SPP1+
COX17	4.11E-54	1.04E-49	0.743108843	VEGFA+SPP1+
FNDC3B	1.85E-53	4.70E-49	0.535857947	VEGFA+SPP1+
HNRNPF	5.76E-52	1.46E-47	0.576516988	VEGFA+SPP1+
KDM6B	2.64E-51	6.72E-47	0.309290048	VEGFA+SPP1+
UQCR10	2.90E-51	7.37E-47	0.602791433	VEGFA+SPP1+
MORF4L2	4.31E-51	1.09E-46	0.589178734	VEGFA+SPP1+
ATF4	5.14E-49	1.30E-44	0.659052939	VEGFA+SPP1+
ZFYVE16	7.10E-49	1.80E-44	0.525426311	VEGFA+SPP1+
ZNF292	1.18E-48	2.98E-44	0.714506743	VEGFA+SPP1+
CPD	2.51E-48	6.37E-44	0.30511954	VEGFA+SPP1+
PIP4P1	4.65E-48	1.18E-43	0.671230235	VEGFA+SPP1+
MIR22HG	4.93E-48	1.25E-43	0.460578151	VEGFA+SPP1+
SERF2	2.61E-45	6.61E-41	0.290128979	VEGFA+SPP1+
ATP6V0E1	2.63E-45	6.67E-41	0.291550477	VEGFA+SPP1+
IL1R1	2.69E-45	6.83E-41	0.582047334	VEGFA+SPP1+
UBA52	3.75E-45	9.52E-41	0.270796661	VEGFA+SPP1+
ABCG1	8.68E-45	2.20E-40	0.633132827	VEGFA+SPP1+
SEC61B	1.39E-44	3.52E-40	0.656143235	VEGFA+SPP1+
HLA-DRA	3.89E-44	9.88E-40	0.35667405	VEGFA+SPP1+
PATL1	4.01E-44	1.02E-39	0.576200613	VEGFA+SPP1+
WSB1	3.36E-43	8.52E-39	0.380093138	VEGFA+SPP1+
IRAK3	7.59E-43	1.93E-38	0.294421599	VEGFA+SPP1+
UBE2B	9.07E-43	2.30E-38	0.273408996	VEGFA+SPP1+
HPCAL1	1.57E-42	3.98E-38	0.689458923	VEGFA+SPP1+
SERP1	1.66E-42	4.22E-38	0.273062457	VEGFA+SPP1+
ARFIP1	3.40E-42	8.63E-38	0.604822281	VEGFA+SPP1+
ATG2A	4.21E-42	1.07E-37	0.329651487	VEGFA+SPP1+
SSR2	3.55E-41	9.01E-37	0.569927965	VEGFA+SPP1+
RELB	1.39E-40	3.54E-36	0.532845801	VEGFA+SPP1+
YWHAE	4.00E-40	1.01E-35	0.612658985	VEGFA+SPP1+
PPCDC	2.17E-38	5.50E-34	0.715811913	VEGFA+SPP1+
SLC15A3	5.05E-38	1.28E-33	0.474734649	VEGFA+SPP1+
APLP2	4.60E-37	1.17E-32	0.448475236	VEGFA+SPP1+
TNIP1	5.84E-37	1.48E-32	0.564722614	VEGFA+SPP1+
SRSF2	3.97E-35	1.01E-30	0.414194542	VEGFA+SPP1+
LAMP1	1.05E-34	2.67E-30	0.368142425	VEGFA+SPP1+
SF3B5	1.92E-34	4.88E-30	0.332803221	VEGFA+SPP1+
MYLIP	3.13E-33	7.96E-29	0.51878768	VEGFA+SPP1+
UBR4	1.26E-32	3.19E-28	0.450557258	VEGFA+SPP1+
COX7A2	8.84E-32	2.24E-27	0.458940071	VEGFA+SPP1+
RAB32	9.10E-32	2.31E-27	0.694921668	VEGFA+SPP1+
COX6A1	2.15E-30	5.46E-26	0.349407941	VEGFA+SPP1+
PSMA7	2.36E-30	6.00E-26	0.488315461	VEGFA+SPP1+
DSE	2.89E-30	7.33E-26	0.389396311	VEGFA+SPP1+
NFKB1	3.54E-30	8.99E-26	0.432907493	VEGFA+SPP1+
CLEC4A	5.05E-30	1.28E-25	0.674651806	VEGFA+SPP1+
TNFAIP2	7.24E-30	1.84E-25	0.344215057	VEGFA+SPP1+
ERBIN	8.19E-30	2.08E-25	0.469711479	VEGFA+SPP1+
DNTTIP2	3.42E-29	8.69E-25	0.420293863	VEGFA+SPP1+
ETF1	6.40E-29	1.63E-24	0.326274098	VEGFA+SPP1+
MECP2	3.12E-28	7.93E-24	0.353417519	VEGFA+SPP1+
RABGEF1	4.43E-28	1.13E-23	0.397456826	VEGFA+SPP1+
MARCKSL1	7.83E-28	1.99E-23	0.479237381	VEGFA+SPP1+
ATP5MD	1.23E-27	3.13E-23	0.421176858	VEGFA+SPP1+
CCR1	2.68E-27	6.81E-23	0.51450926	VEGFA+SPP1+
TBK1	3.32E-27	8.43E-23	0.504869282	VEGFA+SPP1+
SH3BP5	5.77E-27	1.47E-22	0.403505058	VEGFA+SPP1+
MIR4435-2HG	1.43E-26	3.63E-22	0.783979885	VEGFA+SPP1+
BZW1	2.21E-25	5.62E-21	0.379288533	VEGFA+SPP1+
STX4	3.58E-25	9.08E-21	0.406747598	VEGFA+SPP1+
RAB5C	4.36E-25	1.11E-20	0.469408986	VEGFA+SPP1+
EIF1B	4.46E-25	1.13E-20	0.484100179	VEGFA+SPP1+
RAB21	4.52E-25	1.15E-20	0.458599929	VEGFA+SPP1+
SRSF5	5.71E-25	1.45E-20	0.295934782	VEGFA+SPP1+
BRD2	5.09E-24	1.29E-19	0.470597592	VEGFA+SPP1+
AC016831-1	7.11E-24	1.80E-19	0.42310807	VEGFA+SPP1+
SAP18	1.21E-23	3.07E-19	0.363980986	VEGFA+SPP1+
RIPK2	1.90E-23	4.82E-19	0.451873827	VEGFA+SPP1+
PAG1	2.90E-23	7.37E-19	0.385414392	VEGFA+SPP1+
LINC00528	4.68E-22	1.19E-17	0.490236727	VEGFA+SPP1+
TMEM140	5.71E-22	1.45E-17	0.454102707	VEGFA+SPP1+
GPCPD1	3.17E-21	8.06E-17	0.434650535	VEGFA+SPP1+
PPP1R10	4.64E-21	1.18E-16	0.384863979	VEGFA+SPP1+
ATG12	1.04E-20	2.65E-16	0.553935835	VEGFA+SPP1+
TAF10	1.54E-20	3.92E-16	0.277906811	VEGFA+SPP1+
PIK3R5	1.98E-20	5.02E-16	0.528144693	VEGFA+SPP1+
GK	3.41E-20	8.66E-16	0.362278373	VEGFA+SPP1+
BLOC1S6	1.01E-19	2.57E-15	0.427015727	VEGFA+SPP1+
LAMTOR3	2.07E-19	5.26E-15	0.509000479	VEGFA+SPP1+
BRK1	9.52E-18	2.42E-13	0.556245208	VEGFA+SPP1+
ARF1	9.66E-18	2.45E-13	0.253953	VEGFA+SPP1+
SLC15A4	1.25E-17	3.18E-13	0.289232402	VEGFA+SPP1+
CYBB	3.16E-17	8.03E-13	0.351130207	VEGFA+SPP1+
OSER1	5.43E-17	1.38E-12	0.323332066	VEGFA+SPP1+
EMP3	7.63E-17	1.94E-12	0.301512481	VEGFA+SPP1+
CTSC	9.49E-17	2.41E-12	0.44554253	VEGFA+SPP1+
NR4A2	2.16E-16	5.49E-12	0.338787217	VEGFA+SPP1+
ITGAX	1.16E-15	2.95E-11	0.333832133	VEGFA+SPP1+
ARL5B	1.21E-15	3.07E-11	0.320072369	VEGFA+SPP1+
ATP6V0D1	3.33E-15	8.47E-11	0.338429432	VEGFA+SPP1+
DENND5A	9.18E-15	2.33E-10	0.375167221	VEGFA+SPP1+
BUD31	9.59E-15	2.43E-10	0.344246551	VEGFA+SPP1+
ZFAS1	2.01E-14	5.10E-10	0.388717888	VEGFA+SPP1+
C18orf32	2.32E-14	5.89E-10	0.440825973	VEGFA+SPP1+
ATP6AP1	5.96E-14	1.51E-09	0.51255403	VEGFA+SPP1+
TXN	1.29E-13	3.26E-09	0.264983897	VEGFA+SPP1+
UPP1	1.53E-13	3.89E-09	0.337847481	VEGFA+SPP1+
MMP24OS	2.83E-13	7.19E-09	0.434225147	VEGFA+SPP1+
BTF3	5.41E-13	1.37E-08	0.359833137	VEGFA+SPP1+
ZNF207	1.67E-12	4.24E-08	0.454899149	VEGFA+SPP1+
HCST	2.03E-12	5.15E-08	0.371536272	VEGFA+SPP1+
TIMP1	3.10E-12	7.88E-08	0.385242746	VEGFA+SPP1+
PLEKHO2	4.21E-12	1.07E-07	0.4102543	VEGFA+SPP1+
SNN	3.74E-11	9.50E-07	0.259899937	VEGFA+SPP1+
EGR1	7.49E-11	1.90E-06	0.261290911	VEGFA+SPP1+
AC023157-3	1.41E-10	3.59E-06	0.320357833	VEGFA+SPP1+
JOSD1	2.17E-10	5.52E-06	0.256504208	VEGFA+SPP1+
MAP1LC3A	4.14E-10	1.05E-05	0.43823458	VEGFA+SPP1+
COX7B	5.56E-10	1.41E-05	0.261583362	VEGFA+SPP1+
AMD1	7.13E-10	1.81E-05	0.255049171	VEGFA+SPP1+
PITPNA	1.24E-09	3.16E-05	0.275691162	VEGFA+SPP1+
YME1L1	1.94E-09	4.92E-05	0.273964199	VEGFA+SPP1+
DDX21	2.66E-09	6.76E-05	0.313468825	VEGFA+SPP1+
CREG1	3.60E-09	9.15E-05	0.473161062	VEGFA+SPP1+
MCTP1	5.97E-09	1.51E-04	0.526821621	VEGFA+SPP1+
SRA1	6.80E-09	1.73E-04	0.431591919	VEGFA+SPP1+
TDP2	1.77E-08	4.49E-04	0.333619192	VEGFA+SPP1+
LINC01578	3.49E-08	8.85E-04	0.353964814	VEGFA+SPP1+
SF3B6	1.89E-07	4.79E-03	0.299749512	VEGFA+SPP1+
GRN	1.98E-07	5.04E-03	0.377359949	VEGFA+SPP1+
CD164	2.90E-07	7.37E-03	0.279459018	VEGFA+SPP1+
MCEMP1	3.95E-07	1.00E-02	0.265355673	VEGFA+SPP1+
RNF13	4.34E-07	1.10E-02	0.273585879	VEGFA+SPP1+
IFNGR2	4.96E-07	1.26E-02	0.301509876	VEGFA+SPP1+
CD14	6.54E-07	1.66E-02	0.32505683	VEGFA+SPP1+
CAMKK2	6.54E-07	1.66E-02	0.407090716	VEGFA+SPP1+
SLC9A8	1.18E-06	2.99E-02	0.358462967	VEGFA+SPP1+
RHOB	1.62E-06	4.11E-02	0.346770795	VEGFA+SPP1+
ATP13A3	2.04E-06	5.17E-02	0.298000808	VEGFA+SPP1+
SFT2D1	5.49E-06	1.39E-01	0.28617124	VEGFA+SPP1+
CWC25	8.00E-06	2.03E-01	0.282525704	VEGFA+SPP1+
BCL3	9.24E-06	2.35E-01	0.293589332	VEGFA+SPP1+
NUP58	4.62E-05	1.00E+00	0.278940634	VEGFA+SPP1+
PGK1	4.88E-05	1.00E+00	0.264933889	VEGFA+SPP1+
LINC00877	6.49E-05	1.00E+00	0.298793831	VEGFA+SPP1+
SUMO2	9.50E-05	1.00E+00	0.260151377	VEGFA+SPP1+
VAMP2	1.09E-04	1.00E+00	0.27228639	VEGFA+SPP1+
RSRC2	1.31E-04	1.00E+00	0.355310176	VEGFA+SPP1+
COPE	1.55E-04	1.00E+00	0.256779693	VEGFA+SPP1+
RAB5A	5.53E-04	1.00E+00	0.30574854	VEGFA+SPP1+
KRAS	5.90E-04	1.00E+00	0.328218379	VEGFA+SPP1+
IL2RG	1.52E-03	1.00E+00	0.303323113	VEGFA+SPP1+
RBPJ	2.26E-03	1.00E+00	0.322160583	VEGFA+SPP1+
B3GNT5	7.36E-03	1.00E+00	0.297365337	VEGFA+SPP1+
